Country Name,Population,GDP,Health_pct_GDP,Edu_pct_GDP,Military_pct_GDP,GDP_per_capita,Health_per_capita,Edu_per_capita,Military_per_capita
United States,331526933.0,21354105000000.0,18.75621986,5.43544006347656,3.6960098282307,64411.373177937254,12081.138768098981,3501.0415831489963,2380.650683154914
China,1411100000.0,14687744162801.0,5.59359741,3.57295632362366,1.7566994709883699,10408.719554107434,582.2218673927171,371.899003516734,182.8499213436683
India,1402617695.0,2674851578587.27,3.34,4.29300022125244,2.81252756182972,1907.0425163766881,63.69522004698138,81.86933944742931,53.63609638890541
Canada,38028638.0,1655684730000.19,13.0351181,4.88794994354248,1.40083568623706,43537.83929890389,5675.208770800335,2128.1077914303883,609.8935899155887
Italy,59438851.0,1907481094079.23,9.63,4.44194984436035,1.7396316667743599,32091.48666213669,3090.4101655637637,1425.487741841703,558.2736643131999
United Kingdom,67081234.0,2696778386607.65,12.15863419,5.49770021438599,2.15677756004236,40201.68124229274,4887.975360480222,2210.1679158443003,867.0608397935285
Germany,83160871.0,3940142541354.1,12.69255257,5.58759021759033,1.37358571457936,47379.76519454805,6013.701604860575,2647.3871251278347,650.8016863135557
France,67601110.0,2647926055110.05,12.13096142,5.67784023284912,2.0028401160110803,39169.860600070766,4751.680677662365,2224.002104301734,784.5096814838357
Japan,126261000.0,5055587093501.59,11.0,3.30628991127014,1.01782955629789,40040.7655055923,4404.484205615153,1323.8637903067324,407.5467458838487
"Korea, Rep.",51836239.0,1644312831906.17,8.3497715,4.8017201423645,2.80332176687263,31721.29891418569,2648.6559761664857,1523.1679993821058,889.2500771960986
